% Version 1.00
%
%freq[Hz],re:Trc13_S21,im:Trc13_S21,re:cap2_p2_0_1_plstc_S21,im:cap2_p2_0_1_plstc_S21,re:cap2_p2_1_plstc_S21,im:cap2_p2_1_plstc_S21,re:cap2_p2_0_5_plstc_S21,im:cap2_p2_0_5_plstc_S21,
1.455000000000000E+009,-7.371109198216018E-001,-6.374254590565045E-001,-7.440761650989723E-001,-6.318807209487953E-001,-7.444068923553401E-001,-6.301973344223456E-001,-7.447909069061280E-001,-6.298355650901795E-001,
1.460000000000000E+009,-7.424571692909888E-001,-6.312258098367861E-001,-7.493426402060753E-001,-6.256184006635295E-001,-7.496061905446920E-001,-6.239346939145944E-001,-7.500453186035159E-001,-6.235490441322327E-001,
1.465000000000000E+009,-7.473211520639584E-001,-6.251615981456180E-001,-7.540714627234300E-001,-6.195514328940871E-001,-7.543641760475031E-001,-6.179287295374032E-001,-7.547889399528505E-001,-6.174017119407653E-001,
1.470000000000000E+009,-7.525600646905164E-001,-6.190260590915739E-001,-7.591119313693775E-001,-6.134560356856288E-001,-7.594932809734676E-001,-6.117704953322083E-001,-7.598798418045045E-001,-6.113063406944276E-001,
1.475000000000000E+009,-7.578226003569966E-001,-6.126865107988384E-001,-7.642700016641714E-001,-6.070684412609348E-001,-7.645779532578443E-001,-6.054346798065549E-001,-7.649631667137147E-001,-6.048756051063537E-001,
1.480000000000000E+009,-7.630683501326203E-001,-6.064043158050952E-001,-7.695313443264567E-001,-6.008380629326244E-001,-7.697452101596289E-001,-5.991407457105069E-001,-7.700599908828736E-001,-5.985742330551147E-001,
1.485000000000000E+009,-7.682885155168462E-001,-5.995403568303988E-001,-7.746730204692389E-001,-5.940123376280969E-001,-7.748747595654654E-001,-5.922738034368703E-001,-7.752365565299989E-001,-5.917224049568177E-001,
1.490000000000000E+009,-7.735486755846938E-001,-5.932708315158879E-001,-7.797732778898791E-001,-5.876822471782218E-001,-7.799554581856977E-001,-5.859129281296387E-001,-7.803599095344544E-001,-5.853709268569948E-001,
1.495000000000000E+009,-7.784857476532803E-001,-5.866762538899528E-001,-7.846814378658772E-001,-5.810388347697796E-001,-7.848260726963848E-001,-5.793469882074133E-001,-7.852143669128420E-001,-5.787820601463318E-001,
1.500000000000000E+009,-7.836043242773871E-001,-5.802096995216287E-001,-7.897600873248216E-001,-5.744887535086237E-001,-7.899017716847206E-001,-5.728198226582517E-001,-7.901978492736816E-001,-5.722320818901063E-001,
1.505000000000000E+009,-7.886828181271592E-001,-5.738300090625996E-001,-7.947178327583591E-001,-5.680731328220269E-001,-7.948654330831861E-001,-5.664042277100568E-001,-7.952233219146729E-001,-5.658183765411378E-001,
1.510000000000000E+009,-7.937888510535072E-001,-5.672918229664111E-001,-7.998080138881392E-001,-5.614340359601676E-001,-7.999430412965835E-001,-5.598152423432530E-001,-8.002178239822388E-001,-5.591788029670716E-001,
1.515000000000000E+009,-7.985710076635959E-001,-5.606899363078921E-001,-8.044732692043198E-001,-5.547794735657092E-001,-8.045701955368630E-001,-5.531787040017904E-001,-8.048652577400208E-001,-5.525581550598145E-001,
1.520000000000000E+009,-8.035180802598789E-001,-5.540321423127861E-001,-8.093798612696727E-001,-5.481233409467965E-001,-8.093847935570512E-001,-5.464321883106080E-001,-8.097358083724976E-001,-5.458028912544251E-001,
1.525000000000000E+009,-8.079647259957208E-001,-5.475760475841356E-001,-8.137116137324041E-001,-5.416294640919952E-001,-8.137528690570093E-001,-5.399021207553633E-001,-8.139794158935547E-001,-5.392526483535767E-001,
1.530000000000000E+009,-8.122329132584413E-001,-5.405796862727835E-001,-8.179023536057506E-001,-5.345951096735205E-001,-8.180007578602959E-001,-5.328824180869040E-001,-8.182483983039858E-001,-5.321293902397156E-001,
1.535000000000000E+009,-8.162690770305769E-001,-5.339190757646070E-001,-8.219646693254898E-001,-5.279167703628266E-001,-8.220212909578110E-001,-5.261629397213543E-001,-8.222808146476748E-001,-5.253158926963807E-001,
