% Version 1.00
%
%freq[Hz],re:Trc14_S21,im:Trc14_S21,re:cap1_copo2_0_1diverso_S21,im:cap1_copo2_0_1diverso_S21,re:cap1_copo2_0_1diverso_tam_S21,im:cap1_copo2_0_1diverso_tam_S21,re:cap1_copo2_0_1azul_S21,im:cap1_copo2_0_1azul_S21,
1.490000000000000E+009,-7.706278682596696E-001,-5.840275569298830E-001,-7.656492304648092E-001,-5.744213213757063E-001,-7.703482747863160E-001,-5.795132132846388E-001,-7.706791773383381E-001,-5.839802075220991E-001,
1.495000000000000E+009,-7.755353411782411E-001,-5.769074981486857E-001,-7.682570804974238E-001,-5.680078151615799E-001,-7.743953499552529E-001,-5.719304465760033E-001,-7.755171706569837E-001,-5.768713212300691E-001,
1.500000000000000E+009,-7.809081181492351E-001,-5.701032692457115E-001,-7.714235942009824E-001,-5.628231857421330E-001,-7.787331678208495E-001,-5.647838761920674E-001,-7.809461187235798E-001,-5.699745420671817E-001,
1.505000000000000E+009,-7.852802255042561E-001,-5.633248448845932E-001,-7.744314255330366E-001,-5.585608859770729E-001,-7.815605491752078E-001,-5.580968204877589E-001,-7.852466790002841E-001,-5.632467135246397E-001,
1.510000000000000E+009,-7.899152251049059E-001,-5.566797005544628E-001,-7.787574160514461E-001,-5.546053561720210E-001,-7.846309391619764E-001,-5.521429336331285E-001,-7.898711809974710E-001,-5.565366416515789E-001,
1.515000000000000E+009,-7.951147922579016E-001,-5.494511966786242E-001,-7.844885012815508E-001,-5.497986832933426E-001,-7.885310306886070E-001,-5.464237518838992E-001,-7.951028043905319E-001,-5.493255751010899E-001,
1.520000000000000E+009,-7.995478516275975E-001,-5.426275048472250E-001,-7.899715436304871E-001,-5.448351457023147E-001,-7.924150872805675E-001,-5.415262250758476E-001,-7.994957273546722E-001,-5.424172600677275E-001,
1.525000000000000E+009,-8.037333775897925E-001,-5.356831338773749E-001,-7.954136875565354E-001,-5.392150737979059E-001,-7.968196968741635E-001,-5.364529059642216E-001,-8.036250008304154E-001,-5.354991929551415E-001,
1.530000000000000E+009,-8.076799512556647E-001,-5.282709249553617E-001,-8.005475085030541E-001,-5.329163850149306E-001,-8.014130368918528E-001,-5.305713726476278E-001,-8.074485034436594E-001,-5.280111773483885E-001,
1.535000000000000E+009,-8.113669951009858E-001,-5.210609183083190E-001,-8.056781085465163E-001,-5.263771249374440E-001,-8.061720967630990E-001,-5.244619703782181E-001,-8.111648001298446E-001,-5.207087603394872E-001,
1.540000000000000E+009,-8.145288835962593E-001,-5.140266962500626E-001,-8.102298813495636E-001,-5.200354747920808E-001,-8.104545443211693E-001,-5.183527089377568E-001,-8.141449859087697E-001,-5.137376963000030E-001,
1.545000000000000E+009,-8.175045487338342E-001,-5.064854370031861E-001,-8.147432183748717E-001,-5.129326328227708E-001,-8.146441389797871E-001,-5.114352759149810E-001,-8.169099449974419E-001,-5.062831540661434E-001,
1.550000000000000E+009,-8.196379469064207E-001,-4.995290966567897E-001,-8.186354301843521E-001,-5.061841057050512E-001,-8.183106587156676E-001,-5.047581781530560E-001,-8.189515570209728E-001,-4.996261601854201E-001,
1.555000000000000E+009,-8.216150466242789E-001,-4.929912484648594E-001,-8.226807034943083E-001,-4.991681613642791E-001,-8.217977631963817E-001,-4.979321909730397E-001,-8.209186767070862E-001,-4.933787545431888E-001,
1.560000000000000E+009,-8.235891439072426E-001,-4.868614264201667E-001,-8.265234231361696E-001,-4.918216432262690E-001,-8.250064982925499E-001,-4.912422169045878E-001,-8.230230431796085E-001,-4.875512021578881E-001,
1.565000000000000E+009,-8.262614355630230E-001,-4.811729144341301E-001,-8.303858430704867E-001,-4.843574289323972E-001,-8.286749207514395E-001,-4.842886860779880E-001,-8.261249856114722E-001,-4.818755831959313E-001,
1.570000000000000E+009,-8.296918436197247E-001,-4.756705553652299E-001,-8.340803581621243E-001,-4.769035440212847E-001,-8.323322176226604E-001,-4.776775636089646E-001,-8.297766407772087E-001,-4.763375878432055E-001,
1.575000000000000E+009,-8.331252263318241E-001,-4.701490818368563E-001,-8.372093642345191E-001,-4.698794525724894E-001,-8.356706595633405E-001,-4.712448313292678E-001,-8.333649842470452E-001,-4.706172714742950E-001,
1.580000000000000E+009,-8.367192972621723E-001,-4.643018369778502E-001,-8.402911607495887E-001,-4.630626233457330E-001,-8.389954094829758E-001,-4.647999339689789E-001,-8.369684601775579E-001,-4.646621472298395E-001,
1.585000000000000E+009,-8.405829913069887E-001,-4.588096493923896E-001,-8.437009951290718E-001,-4.568253890723305E-001,-8.425280904043109E-001,-4.588464145083086E-001,-8.408205707715095E-001,-4.589810056653567E-001,
1.590000000000000E+009,-8.444661191675452E-001,-4.531394424355575E-001,-8.472397087722235E-001,-4.504940561653796E-001,-8.462217756257454E-001,-4.528853026195617E-001,-8.446908647792780E-001,-4.532428466968906E-001,
